,pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
140,3,female,,0,2,15.2458,,C,Mrs
439,2,male,31.0,0,0,10.5,,S,Mr
817,2,male,31.0,1,1,37.0042,,C,Mr
378,3,male,20.0,0,0,4.0125,,C,Mr
491,3,male,21.0,0,0,7.25,,S,Mr
331,1,male,45.5,0,0,28.5,C124,S,Mr
588,3,male,22.0,0,0,8.05,,S,Mr
358,3,female,,0,0,7.8792,,Q,Miss
674,2,male,,0,0,0.0,,S,Mr
162,3,male,26.0,0,0,7.775,,S,Mr
580,2,female,25.0,1,1,30.0,,S,Miss
402,3,female,21.0,1,0,9.825,,S,Miss
671,1,male,31.0,1,0,52.0,B71,S,Mr
875,3,female,15.0,0,0,7.225,,C,Miss
727,3,female,,0,0,7.7375,,Q,Miss
428,3,male,,0,0,7.75,,Q,Mr
54,1,male,65.0,0,1,61.9792,B30,C,Mr
45,3,male,,0,0,8.05,,S,Mr
172,3,female,1.0,1,1,11.1333,,S,Miss
447,1,male,34.0,0,0,26.55,,S,Mr
597,3,male,49.0,0,0,0.0,,S,Mr
204,3,male,18.0,0,0,8.05,,S,Mr
240,3,female,,1,0,14.4542,,C,Miss
672,2,male,70.0,0,0,10.5,,S,Mr
39,3,female,14.0,1,0,11.2417,,C,Miss
283,3,male,19.0,0,0,8.05,,S,Mr
308,2,male,30.0,1,0,24.0,,C,Mr
18,3,female,31.0,1,0,18.0,,S,Mrs
769,3,male,32.0,0,0,8.3625,,S,Mr
156,3,female,16.0,0,0,7.7333,,Q,Miss
482,3,male,50.0,0,0,8.05,,S,Mr
210,3,male,24.0,0,0,7.05,,S,Mr
647,1,male,56.0,0,0,35.5,A26,C,Other
50,3,male,7.0,4,1,39.6875,,S,Master
852,3,female,9.0,1,1,15.2458,,C,Miss
239,2,male,33.0,0,0,12.275,,S,Mr
646,3,male,19.0,0,0,7.8958,,S,Mr
122,2,male,32.5,1,0,30.0708,,C,Mr
788,3,male,1.0,1,2,20.575,,S,Master
167,3,female,45.0,1,4,27.9,,S,Mrs
306,1,female,,0,0,110.8833,,C,Miss
379,3,male,19.0,0,0,7.775,,S,Mr
742,1,female,21.0,2,2,262.375,B57,C,Miss
10,3,female,4.0,1,1,16.7,G6,S,Miss
105,3,male,28.0,0,0,7.8958,,S,Mr
68,3,female,17.0,4,2,7.925,,S,Miss
253,3,male,30.0,1,0,16.1,,S,Mr
320,3,male,22.0,0,0,7.25,,S,Mr
706,2,female,45.0,0,0,13.5,,S,Mrs
271,3,male,25.0,0,0,0.0,,S,Mr
424,3,male,18.0,1,1,20.2125,,S,Mr
752,3,male,33.0,0,0,9.5,,S,Mr
615,2,female,24.0,1,2,65.0,,S,Miss
2,3,female,26.0,0,0,7.925,,S,Miss
882,3,female,22.0,0,0,10.5167,,S,Miss
467,1,male,56.0,0,0,26.55,,S,Mr
403,3,male,28.0,1,0,15.85,,S,Mr
258,1,female,35.0,0,0,512.3292,,C,Miss
720,2,female,6.0,0,1,33.0,,S,Miss
272,2,female,41.0,0,1,19.5,,S,Mrs
154,3,male,,0,0,7.3125,,S,Mr
832,3,male,,0,0,7.2292,,C,Mr
820,1,female,52.0,1,1,93.5,B69,S,Mrs
382,3,male,32.0,0,0,7.925,,S,Mr
20,2,male,35.0,0,0,26.0,,S,Mr
585,1,female,18.0,0,2,79.65,E68,S,Miss
65,3,male,,1,1,15.2458,,C,Master
680,3,female,,0,0,8.1375,,Q,Miss
878,3,male,,0,0,7.8958,,S,Mr
304,3,male,,0,0,8.05,,S,Mr
823,3,female,27.0,0,1,12.475,E121,S,Mrs
521,3,male,22.0,0,0,7.8958,,S,Mr
333,3,male,16.0,2,0,18.0,,S,Mr
